"Permanent & long-term migration by EVERY country of residence and citizenship (Monthly)","","","",""
"","","","Arrivals","Departures"
" "," ","1999M06",0,2
" "," ","1999M07",0,0
" "," ","1999M08",0,0
" "," ","1999M09",0,0
" "," ","1999M10",0,0
" "," ","1999M11",4,0
" "," ","1999M12",4,0
" "," ","2000M01",1,0
" "," ","2000M02",0,0
" "," ","2000M03",0,0
" ","Norfolk Island","1994M11",2,1
" "," ","1994M12",0,1
" "," ","1995M01",3,2
" "," ","1995M02",1,5
" "," ","1995M03",1,5
" "," ","1995M04",2,3
" "," ","1995M05",0,0
" "," ","1995M06",0,2
" "," ","1995M07",3,0
" "," ","1995M08",1,10
" "," ","1995M09",0,5
" "," ","1995M10",2,1
" "," ","1995M11",1,0
" "," ","1995M12",1,2
" "," ","1996M01",2,4
" "," ","1996M02",0,0
" "," ","1996M03",4,1
" "," ","1996M04",1,1
" "," ","1996M05",2,2
" "," ","1996M06",3,3
" "," ","1996M07",0,8
" "," ","1996M08",0,3
" "," ","1996M09",1,2
" "," ","1996M10",0,1
" "," ","1996M11",1,3
" "," ","1996M12",3,5
" "," ","1997M01",0,3
" "," ","1997M02",6,10
" "," ","1997M03",2,1
" "," ","1997M04",2,5
" "," ","1997M05",0,0
" "," ","1997M06",0,4
" "," ","1997M07",0,0
" "," ","1997M08",0,4
" "," ","1997M09",0,2
" "," ","1997M10",3,0
" "," ","1997M11",2,0
" "," ","1997M12",2,3
" "," ","1998M01",0,5
" "," ","1998M02",6,3
" "," ","1998M03",0,4
" "," ","1998M04",7,1
" "," ","1998M05",0,10
" "," ","1998M06",1,2
" "," ","1998M07",0,1
" "," ","1998M08",0,6
" "," ","1998M09",2,2
